what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340562784568
executed,command,it.baeyens.avreclipse.ui,4.0.6,"it.baeyens.avreclipse.commands.uploadproject",1340562786456
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340562786937
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340562789312
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1340562801655
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1340562803267
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1340562810289
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1340562827470
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1340562828746
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1340562863708
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1340562864568
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340562885406
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340562889546
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340562893705
executed,command,it.baeyens.avreclipse.ui,4.0.6,"it.baeyens.avreclipse.commands.uploadproject",1340562894568
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340562895032
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340562897367
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1340562903506
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1340562904850
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340562946310
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340562964903
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1340562968753
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340562977768
